Shrt_Desc,Class,Sugar_Tot_.g.,Iron_.mg.,Cholestrl_.mg.
WHEAT HOT NAT CRL/CKD W/ H2O/WO/ SALT,1.0,0.08,0.62,0.0
CANDIES/MR. GOODBAR CHOC BAR,3.0,47.22,1.39,10.0
granola bar/ QUAKER/ DIPPS/ all flavors,2.0,37.61,1.16,0.0
CANDIES/ROLO CARAMELS IN MILK CHOC,3.0,63.93,0.42,12.0
ICE CREAMS/BREYERS/NO SUGAR ADDED/BUTTER PECAN,3.0,5.9,0.19,18.0
RICE CAKES/BROWN RICE/PLN/UNSALTED,2.0,0.88,1.49,0.0
COCOA/DRY PDR/HI-FAT OR BRKFST/PLN,3.0,1.55,14.5,0.0
FRSTD MINI-WHTS TOUCH FRT MDL MXD BER,1.0,17.8,29.5,0.0
CRM OF WHEAT/REG (10 MINUTE)/CKD W/ H2O/W/ SALT,1.0,0.03,3.99,0.0
CANDIES/MARS SNACKFOOD US/TWIX CHOC FUDGE COOKIE BARS,3.0,53.0,1.31,6.0
NATURE'S PATH/ORGANIC FLAX PLUS FLAKES,1.0,12.25,5.89,0.0
CORN GRITS/INST/PLN/DRY,1.0,1.51,38.75,0.0
INST OATMEAL EXPRESS CINN ROLL/DRY,1.0,30.91,6.67,0.0
FORM BAR/MARS SNACKFOOD US/COCOAVIA/CHOC BLUEBERRY,2.0,33.4,1.88,2.0
AMARANTH FLAKES,1.0,0.42,1.76,0.0
SWEETENERS/TABLETOP/FRUCTOSE/DRY/PDR,3.0,92.7,0.1,0.0
POST SELECTS BLUEBERRY MORNING,1.0,29.2,3.3,0.0
SWEETENERS/TABLETOP/FRUCTOSE/LIQ,3.0,76.0,0.11,0.0
CANDIES/MARS SNACKFOOD US/MILKY WAY BAR,3.0,59.69,0.49,9.0
POST RAISIN BRAN CRL,1.0,34.0,18.3,0.0
WHEATIES,1.0,15.2,33.3,0.0
GENERAL MILLS/FRANKENBERRY,1.0,27.29,13.6,0.0
CINN BURST CHEERIOS,1.0,28.1,25.29,0.0
MAPLE BROWN SUGAR LIFE CRL,1.0,24.9,28.69,0.0
CAP'N CRUNCH'S OOPS! ALL BERRIES CRL,1.0,44.18,21.57,0.0
KASHI GOOD FRIENDS,1.0,18.8,4.1,0.0
GENERAL MILLS/FRUITY CHEERIOS,1.0,32.2,16.7,0.0
CANDIES/TRUFFLES/PREPARED-FROM-RECIPE,3.0,38.31,1.75,53.0
WHL WHEAT NAT CRL,1.0,2.0,3.3,0.0
FROZEN NOVELTIES/ICE TYPE/LIME,3.0,32.6,0.16,0.0
TRAIL MIX/REG/W/CHOC CHIPS/SALTED NUTS&SEEDS,2.0,23.88,3.39,4.0
CANDIES/FUDGE/PNUT BUTTER/PREPARED-FROM-RECIPE,3.0,73.36,0.22,3.0
OATS/INST/FORT/W/ RAISINS & SPICE/DRY,1.0,37.14,9.43,0.0
GENERAL MILLS/CHEERIOS/BANANA NUT,1.0,33.1,16.1,0.0
SUGARS/BROWN,3.0,97.02,0.71,0.0
KELLOGG'S RAISIN BRAN,1.0,31.3,12.33,0.0
FROZEN YOGURTS/FLAVORS OTHER THAN CHOC,3.0,19.92,0.46,13.0
POTATO CHIPS/FAT-FREE/MADE W/OLESTRA,2.0,0.0,2.4,0.0
NATURE'S PATH/OPTIMUM SLIM,1.0,18.18,4.91,0.0
CANDIES/CRISPY BAR W/ PNUT BUTTER FILLING,3.0,40.33,1.3,5.0
